,date,ticker,sentiment
185,2023-03-02,tsla,-1
186,2023-03-02,tsla,1
187,2023-03-02,tsla,1
188,2023-03-02,tsla,0
189,2023-03-02,tsla,-1
190,2023-03-02,tsla,0
191,2023-03-02,tsla,-1
192,2023-03-01,tsla,0
193,2023-03-02,tsla,1
194,2023-03-01,tsla,0
195,2023-03-01,tsla,0
196,2023-03-01,tsla,-1
197,2023-03-01,tsla,0
198,2023-03-01,tsla,0
199,2023-03-01,tsla,0
200,2023-03-01,tsla,0
201,2023-03-01,tsla,0
202,2023-03-01,tsla,0
203,2023-03-01,tsla,1
204,2023-03-01,tsla,1
205,2023-03-01,tsla,0
206,2023-03-01,tsla,1
207,2023-03-01,tsla,0
208,2023-03-01,tsla,1
209,2023-03-01,tsla,-1
210,2023-03-01,tsla,0
211,2023-03-01,tsla,-1
212,2023-03-01,tsla,0
213,2023-03-01,tsla,0
214,2023-03-01,tsla,0
215,2023-03-01,tsla,-1
216,2023-03-01,tsla,0
217,2023-03-01,tsla,-1
218,2023-03-01,tsla,1
219,2023-03-01,tsla,1
220,2023-03-01,tsla,0
221,2023-03-01,tsla,0
222,2023-03-01,tsla,1
223,2023-03-01,tsla,0
224,2023-03-01,tsla,-1
225,2023-03-01,tsla,0
226,2023-03-01,tsla,-1
227,2023-03-01,tsla,1
228,2023-03-01,tsla,1
229,2023-03-01,tsla,0
230,2023-03-01,tsla,1
231,2023-03-01,tsla,0
232,2023-03-01,tsla,-1
233,2023-02-28,tsla,0
234,2023-02-28,tsla,-1
235,2023-02-28,tsla,0
236,2023-02-28,tsla,-1
237,2023-02-28,tsla,0
238,2023-02-28,tsla,0
239,2023-02-28,tsla,0
240,2023-02-28,tsla,1
241,2023-02-28,tsla,0
242,2023-02-28,tsla,0
243,2023-02-28,tsla,0
244,2023-02-28,tsla,0
245,2023-02-28,tsla,0
246,2023-02-28,tsla,-1
247,2023-02-28,tsla,1
248,2023-02-28,tsla,0
249,2023-03-02,goog,-1
250,2023-03-02,goog,1
251,2023-03-02,goog,1
252,2023-03-02,goog,0
253,2023-03-01,goog,0
254,2023-03-01,goog,-1
255,2023-03-01,goog,0
256,2023-03-01,goog,0
257,2023-02-28,goog,-1
258,2023-02-28,goog,0
259,2023-02-28,goog,1
260,2023-02-27,goog,-1
261,2023-02-27,goog,0
262,2023-02-24,goog,1
263,2023-02-24,goog,-1
264,2023-02-24,goog,0
265,2023-02-23,goog,-1
266,2023-02-23,goog,0
267,2023-02-23,goog,0
268,2023-02-22,goog,0
269,2023-02-22,goog,-1
270,2023-02-21,goog,0
271,2023-02-21,goog,0
272,2023-02-18,goog,0
273,2023-02-18,goog,1
274,2023-02-17,goog,0
275,2023-02-17,goog,0
276,2023-02-16,goog,1
277,2023-02-16,goog,-1
278,2023-02-16,goog,-1
279,2023-02-16,goog,0
280,2023-02-15,goog,-1
281,2023-02-15,goog,0
282,2023-02-14,goog,0
283,2023-02-14,goog,0
284,2023-02-14,goog,-1
285,2023-02-14,goog,0
287,2023-03-02,goog,0
288,2023-03-01,goog,1
289,2023-03-01,goog,-1
290,2023-03-02,goog,0
291,2023-03-02,goog,1
292,2023-03-02,goog,0
293,2023-03-01,goog,1
294,2023-03-02,goog,1
295,2023-03-02,goog,0
296,2023-03-02,goog,0
297,2023-03-01,goog,1
298,2023-03-01,goog,0
299,2023-03-01,goog,0
300,2023-03-01,goog,0
301,2023-03-01,goog,0
302,2023-03-01,goog,0
303,2023-03-01,goog,0
304,2023-03-01,goog,0
305,2023-03-01,goog,-1
306,2023-03-01,goog,0
307,2023-03-01,goog,0
308,2023-03-01,goog,0
309,2023-03-01,goog,0
310,2023-03-01,goog,-1
311,2023-02-28,goog,0
312,2023-02-28,goog,0
313,2023-02-28,goog,1
314,2023-02-28,goog,0
315,2023-02-28,goog,0
316,2023-02-28,goog,0
317,2023-02-28,goog,0
318,2023-02-27,goog,0
319,2023-02-27,goog,0
320,2023-02-27,goog,0
